N;Grupo;Animal;Dosagem;PA_mmHg;Desvio_PA;Ptr_cmH2O;Desvio_Ptr;Perturbacao
104;SHR 17 Semanas Tratados;2;3 ug/kg;8,535,764,208;7,367,669,746;2,900,204,178;0.666070894;14
105;SHR 17 Semanas Tratados;2;3 ug/kg;8,114,850,263;7,632,969,375;2,861,760,313;0.669725676;15
106;SHR 17 Semanas Tratados;2;10 ug/kg;4,356,131,386;7,484,932,739;3,086,791,488;0.845390191;1
107;SHR 17 Semanas Tratados;2;10 ug/kg;4,868,498,514;4,338,818,579;314,415,624;0.862420058;2
108;SHR 17 Semanas Tratados;2;10 ug/kg;4,600,821,154;736,822,811;2,952,693,864;0.761427923;3
109;SHR 17 Semanas Tratados;2;10 ug/kg;5,083,120,633;6,627,116,224;2,970,548,172;0.723317899;4
110;SHR 17 Semanas Tratados;2;10 ug/kg;4,855,232,683;4,435,179,029;2,965,096,606;0.700158859;5
111;SHR 17 Semanas Tratados;2;10 ug/kg;5,381,890,377;4,447,938,674;2,928,375,457;0.690583865;6
112;SHR 17 Semanas Tratados;2;10 ug/kg;5,470,964,984;5,993,902,284;2,928,829,634;0.684554283;7
113;SHR 17 Semanas Tratados;2;10 ug/kg;580,940,497;4,160,248,214;293,184,295;0.684798281;8
114;SHR 17 Semanas Tratados;2;10 ug/kg;5,786,270,597;5,822,851,832;2,929,800,914;0.684281023;9
115;SHR 17 Semanas Tratados;2;10 ug/kg;6,163,491,142;4,437,416,017;2,939,630,026;0.679784742;10
116;SHR 17 Semanas Tratados;2;10 ug/kg;6,186,467,885;5,771,155,848;2,931,388,903;0.675832111;11
117;SHR 17 Semanas Tratados;2;10 ug/kg;6,513,553,142;4,890,151,454;290,960,718;0.680771943;12
118;SHR 17 Semanas Tratados;2;10 ug/kg;6,382,496,978;4,190,178,912;2,920,606,397;0.693313944;13
119;SHR 17 Semanas Tratados;2;10 ug/kg;6,778,605,844;4,536,627,698;2,933,671,018;0.687341757;14
120;SHR 17 Semanas Tratados;2;10 ug/kg;6,641,939,639;4,088,408,636;2,934,038,642;0.679353807;15
121;SHR 17 Semanas Tratados;2;30 ug/kg;4,027,938,888;7,688,419,363;339,135,321;1,682,117,047;1
122;SHR 17 Semanas Tratados;2;30 ug/kg;3,987,537,878;2,931,935,475;4,355,894,478;2,052,614,369;2
123;SHR 17 Semanas Tratados;2;30 ug/kg;3,613,128,628;3,246,816,778;3,732,069,282;1,329,396,797;3
124;SHR 17 Semanas Tratados;2;30 ug/kg;3,968,458,471;7,645,587,767;3,286,453,655;0.97066348;4
125;SHR 17 Semanas Tratados;2;30 ug/kg;4,117,638,467;5,285,753,629;3,153,794,256;0.833162442;5
126;SHR 17 Semanas Tratados;2;30 ug/kg;4,322,504,801;5,698,371,434;3,031,045,039;0.774651923;6
127;SHR 17 Semanas Tratados;2;30 ug/kg;4,413,169,999;505,775,402;3,078,705,614;0.741649767;7
128;SHR 17 Semanas Tratados;2;30 ug/kg;4,532,525,564;5,839,169,266;3,017,130,809;0.721621237;8
129;SHR 17 Semanas Tratados;2;30 ug/kg;4,791,875,875;7,211,671,297;3,035,690,339;0.718573583;9
130;SHR 17 Semanas Tratados;2;30 ug/kg;47,988,935;6,445,954,135;3,011,704,439;0.719078789;10
131;SHR 17 Semanas Tratados;2;30 ug/kg;4,942,167,677;5,707,063,994;303,878,107;0.701989524;11
132;SHR 17 Semanas Tratados;2;30 ug/kg;4,826,258,343;2,950,041,351;3,013,248,564;0.703095764;12
133;SHR 17 Semanas Tratados;2;30 ug/kg;5,190,378,378;6,765,808,909;2,984,571,149;0.706192007;13
134;SHR 17 Semanas Tratados;2;30 ug/kg;5,102,513,997;4,313,518,639;2,976,116,449;0.708044388;14
135;SHR 17 Semanas Tratados;2;30 ug/kg;518,820,585;3,416,693,311;2,973,317,755;0.703308006;15
136;SHR 17 Semanas Tratados;2;100 ug/kg;3,563,337,429;3,636,468,879;4,227,605,943;3,187,353,992;1
137;SHR 17 Semanas Tratados;2;100 ug/kg;3,298,737,784;2,541,805,582;5,508,546,754;3,019,163,067;2
138;SHR 17 Semanas Tratados;2;100 ug/kg;2,846,697,192;2,584,592,101;494,913,335;2,274,110,724;3
139;SHR 17 Semanas Tratados;2;100 ug/kg;286,553,021;3,813,635,655;4,226,739,099;1,638,223,607;4
140;SHR 17 Semanas Tratados;2;100 ug/kg;2,870,707,012;3,614,626,143;3,819,872,663;1,262,721,897;5
141;SHR 17 Semanas Tratados;2;100 ug/kg;3,006,671,528;3,985,309,328;3,609,065,927;1,073,933,515;6
142;SHR 17 Semanas Tratados;2;100 ug/kg;326,425,054;6,304,913,443;351,625,235;0.966688327;7
143;SHR 17 Semanas Tratados;2;100 ug/kg;3,470,836,364;7,022,497,796;3,407,196,345;0.912637834;8
144;SHR 17 Semanas Tratados;2;100 ug/kg;3,692,948,045;7,714,130,379;3,326,372,454;0.875081;9
