Time(s), Pressure(mmHg), Action Number
15.16,97.99,0
15.18,103.82,0
15.20,100.42,0
15.22,90.41,0
15.24,86.58,0
15.26,85.70,0
15.28,83.56,0
15.30,79.95,0
15.32,76.57,0
15.34,74.18,0
15.36,74.76,0
15.38,91.17,0
15.40,105.09,0
15.42,100.89,0
15.44,90.58,0
15.46,87.08,0
15.48,86.08,0
15.50,83.49,0
15.52,81.61,0
15.54,77.86,0
15.56,74.90,0
15.58,74.72,0
15.60,92.05,0
15.62,105.63,0
15.64,101.04,0
15.66,90.97,0
15.68,88.61,0
15.70,87.23,0
15.72,85.59,0
15.74,82.22,0
15.76,78.39,0
15.78,75.50,0
15.80,76.08,0
15.82,93.39,0
15.84,101.18,0
15.86,103.20,0
15.88,93.35,0
15.90,87.62,0
15.92,86.50,0
15.94,84.83,0
15.96,81.49,0
15.98,77.88,0
16.00,76.41,0
16.02,74.49,0
16.04,86.09,0
16.06,103.71,0
16.08,103.82,0
16.10,93.22,0
16.12,88.06,0
16.14,86.97,0
16.16,86.18,0
16.18,83.10,0
16.20,79.28,0
16.22,76.10,0
16.24,74.26,0
16.26,87.33,0
16.28,104.53,0
16.30,103.87,0
16.32,98.59,0
16.34,90.15,0
16.36,88.12,0
16.38,86.75,0
16.40,83.71,0
16.42,79.82,0
16.44,76.67,0
16.46,75.40,0
16.48,80.04,0
16.50,98.74,0
16.52,104.75,0
16.54,96.15,0
16.56,88.96,0
16.58,87.40,0
16.60,85.99,0
16.62,84.63,0
16.64,81.00,0
16.66,77.62,0
16.68,75.21,0
16.70,82.50,0
16.72,101.78,0
16.74,105.67,0
16.76,95.84,0
16.78,89.25,0
16.80,88.38,0
16.82,87.21,0
16.84,84.41,0
16.86,80.59,0
16.88,77.20,0
16.90,74.77,0
16.92,83.80,0
16.94,102.91,0
16.96,106.70,0
16.98,101.17,0
17.00,91.72,0
17.02,88.92,0
17.04,87.68,0
17.06,84.89,0
17.08,80.98,0
17.10,77.62,0
17.12,76.34,0
17.14,78.29,0
17.16,96.41,0
17.18,105.36,0
17.20,98.30,0
17.22,90.12,0
17.24,88.07,0
17.26,86.79,0
17.28,85.54,0
17.30,82.02,0
17.32,78.48,0
17.34,75.89,0
17.36,80.38,0
17.38,99.91,0
17.40,106.56,0
17.42,97.78,0
17.44,92.98,0
17.46,89.03,0
17.48,87.89,0
17.50,85.32,0
17.52,81.48,0
17.54,77.98,0
17.56,75.35,0
17.58,81.85,0
17.60,92.21,0
17.62,106.52,0
17.64,102.76,0
17.66,92.85,0
17.68,89.46,0
17.70,88.25,0
17.72,85.62,0
17.74,81.74,0
17.76,79.87,0
17.78,76.92,0
17.80,77.55,0
17.82,94.78,0
17.84,105.50,0
17.86,99.60,0
17.88,90.89,0
17.90,88.44,0
17.92,87.98,0
17.94,86.10,0
17.96,82.65,0
17.98,79.01,0
18.00,76.33,0
18.02,79.36,0
18.04,98.65,0
18.06,106.89,0
18.08,104.21,0
18.10,93.87,0
18.12,89.40,0
18.14,88.26,0
18.16,85.83,0
18.18,81.98,0
18.20,78.44,0
18.22,75.71,0
18.24,75.78,0
18.26,91.15,0
18.28,106.39,0
18.30,103.55,0
18.32,93.49,0
18.34,89.83,0
18.36,88.63,0
18.38,86.07,0
18.40,84.21,0
18.42,80.32,0
18.44,77.30,0
18.46,77.38,0
18.48,94.01,0
18.50,105.58,0
18.52,100.32,0
18.54,95.15,0
18.56,89.52,0
18.58,88.31,0
18.60,86.48,0
18.62,83.08,0
18.64,79.42,0
18.66,76.69,0
18.68,79.19,0
18.70,88.08,0
18.72,105.13,0
18.74,104.61,0
18.76,94.33,0
18.78,89.70,0
18.80,88.53,0
18.82,86.19,0
18.84,82.31,0
18.86,80.42,0
18.88,77.28,0
18.90,75.85,0
18.92,90.57,0
18.94,106.33,0
18.96,104.09,0
18.98,93.97,0
19.00,90.10,0
19.02,89.57,0
19.04,87.88,0
19.06,84.53,0
19.08,80.62,0
19.10,77.57,0
19.12,77.47,0
19.14,93.81,0
19.16,105.59,0
19.18,104.73,0
19.20,95.30,0
19.22,89.64,0
19.24,88.41,0
19.26,86.59,0
